N°,PROYECTO,PROPIETARIO,ID POSTE,LAT,LON,STATUS,ID CAJA,NO. PORTS,ID CIERRE EMP,ACTIVE CLIENTS,CONECTED TO,FLEJE,HERRAJE,BRAZO,GAZA,RAQUETA,CAJA DISTRIBUCIÓN,CIERRE DE EMPALME,REMATE,POTENCIA CALCULO,POTENCIA FISICA,CALIDAD - POTENCIA,Tag Pot
74,VILLA VICTORIA CHINICUILA,CFE,PC074,18.758631,-103.365891,0,N/A,N/A,N/A,0,PC073,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
75,VILLA VICTORIA CHINICUILA,CFE,PC075,18.758525,-103.365437,0,N/A,N/A,N/A,0,PC074,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
76,VILLA VICTORIA CHINICUILA,CFE,PC076,18.757922,-103.365049,0,N/A,N/A,N/A,0,PC094,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
77,VILLA VICTORIA CHINICUILA,CFE,PC077,18.757696,-103.364822,0,N/A,N/A,N/A,0,PC076,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
78,VILLA VICTORIA CHINICUILA,CFE,PC078,18.758692,-103.368211,0,T1-H4-C04,8,N/A,0,PC068,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-20.2,-22.09,-9.46,Excelente
79,VILLA VICTORIA CHINICUILA,CFE,PC079,18.758762,-103.367817,0,T1-H4-C05,16,N/A,0,PC078,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-21.8,-20.25,-1.23,Excelente
80,VILLA VICTORIA CHINICUILA,CFE,PC080,18.758818,-103.367455,0,N/A,N/A,N/A,0,PC079,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
81,VILLA VICTORIA CHINICUILA,CFE,PC081,18.758888,-103.367142,0,T1-H4-C06,16,N/A,0,PC080,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-21.7,-20.42,-2.06,Excelente
82,VILLA VICTORIA CHINICUILA,CFE,PC082,18.759221,-103.367177,0,N/A,N/A,N/A,0,PC081,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
83,VILLA VICTORIA CHINICUILA,CFE,PC083,18.759582,-103.367167,0,T1-H4-C07,16,N/A,0,PC082,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-21.7,-20.04,-0.20,Excelente
84,VILLA VICTORIA CHINICUILA,CFE,PC084,18.758729,-103.366015,0,N/A,N/A,N/A,0,PC073,LISTO,LISTO,N/A,N/A,N/A,N/A,N/A,LISTO,N/A,N/A,N/A,No Aplica
85,VILLA VICTORIA CHINICUILA,CFE,PC085,18.759089,-103.365728,0,T1-H5-C02,16,N/A,0,PC084,LISTO,LISTO,N/A,N/A,N/A,LISTO,N/A,N/A,-21,-19.26,3.84,Excelente
