('COLI01-FIBR-TINA-XC22478', 'COLIMA', 'COLIMA', 'TINAJAS', 'Felipe Perez Arceo', 'TEPAMES CENTRAL', 'ONU', 'XC220_G3V', 'FIBRA', '10.0.48.239', '19.042666', '-103.5835', '478', 'LON', 'LOL-0', '478-COLI01-TEPAMES CENTRAL-FIBR-XC220_G3V-Felipe Perez Arceo-COLI-478')

[('COLI01-FIBR-COLI-ARIS000', 'COLIMA', 'COLIMA', 'COLIMA', 'OFICINA CENTRAL', 'CENTRAL', 'SWITCH', 'ARISTA 7050S_64_F', 'FIBRA', '10.0.10.0', '19.246546', '-103.709394', '000', 'L0', '-', '000-COLI01-CENTRAL-FIBR-ARISTA 7050S_64_F-OFICINA CENTRAL-COLI-000'),
["COLI01-FIBR-TEPA-CPE2024", "COLIMA", "COLIMA", "TEPAMES", "AP_SecundariaTepames", "TEPAMES CENTRAL", "APP", "CPE220", "FIBRA", "10.0.101.177", "19.10242687", "-103.6205264", "024", "LAPP", "LOL-000", "024-COLI01-TEPAMES CENTRAL-FIBR-CPE220-AP_SecundariaTepames-COLI-024"]

host,metric,latitude,longitude,afiliacion,ip,location
 06-MIN-T.MINA-VVU-AXIS-Q3708-PVE-F2-Entrada a Minatitlan-COL01-VVU-MINA-006,3,18.93125097,-103.8796184,COL01-VVU-TECO-011,10.21.40.176,TECOMAN
 39-MZO-T.TORREC4-VVU-AXIS-Q3708-PVE-F1-CARCAMO BARRIO 3-COL01-VVU-MANZ-039,5,19.277756,-103.763497,COL01-VVU-VILL-011,10.21.63.22,VILLA
 02-MZO-T.TORO-VVU-AXIS-Q3708-PVE-F2-Crucero Club Santiago-COL01-VVU-MANZ-002,5,19.258689,-103.689673,COL01-VVU-COLI-012,10.21.61.42,COLIMA
 28-MZO-T.TORREC4-VVU-AXIS-Q3708-PVE-F1-Casino de la Feria-COL01-VVU-MANZ-028,5,19.325448,-103.601882,COL01-VVU-CUAU-012,10.21.61.26,CUAUHTEMOC
 36-MZO-T.TORREC4-VVU-AXIS-Q3708-PVE-F1-St Johns-COL01-VVU-MANZ-036,5,19.152518,-104.335912,COL01-VVU-MANZ-012,10.21.37.43,MANZANILLO
 21-MZO-T.TORREC4-VVU-AXIS-Q3708-PVE-F2-Cecaty 34-COL01-VVU-MANZ-021,4,18.92628876,-103.8752966,COL01-VVU-TECO-012,10.21.40.141,TECOMAN
 22-MZO-T.TORREC4-VVU-AXIS-Q3708-PVE-F2-Pablo Latapi-COL01-VVU-MANZ-022,5,19.247268,-103.753317,COL01-VVU-VILL-012,10.21.63.24,VILLA
 33-MZO-T.TORREC4-VVU-AXIS-Q3708-PVE-F2-Garza Flamingos-COL01-VVU-MANZ-033,5,19.256066,-103.682139,COL01-VVU-COLI-013,10.21.61.34,COLIMA
 37-MZO-T.TORREC4-VVU-AXIS-Q3708-PVE-F2-Elias Zamora Gaviotas-COL01-VVU-MANZ-037,5,19.359205,-103.577304,COL01-VVU-CUAU-013,10.21.61.28,CUAUHTEMOC
 03-TEC-T.TORREPRIMAVERA-VVU-AXIS-Q3708-PVE-F1-Cofradia de Morelos-COL01-VVU-TECO-003,4,19.256066,-104.34261,COL01-VVU-MANZ-013,10.21.37.15,MANZANILLO
 25-TEC-T.TORRESEMEFO-VVU-AXIS-Q3708-PVE-F1-Panteon Nuevo-COL01-VVU-TECO-025,5,19.26308669,-103.7568762,COL01-VVU-VILL-013,10.21.50.40,VILLA
 29-TEC-T.TORRESEMEFO-VVU-AXIS-Q3708-PVE-F1-Colonia Libertad-COL01-VVU-TECO-029,5,19.253128,-103.689456,COL01-VVU-COLI-014,10.21.61.51,COLIMA
 33-TEC-T.TORRESEMEFO-VVU-AXIS-Q3708-PVE-F1-Independencia Andador 18-COL01-VVU-TECO-033,5,19.35541,-103.565632,COL01-VVU-CUAU-014,10.21.61.30,CUAUHTEMOC
 08-TEC-T.TORRETECOC2-VVU-AXIS-Q3708-PVE-F1-Aurrera-COL01-VVU-TECO-008,3,18.890823,-103.891204,COL01-VVU-TECO-014,10.21.41.100,TECOMAN
14-VILL-UNIDAD DEP. GUSTAVO VAZQUEZ-T.VDA -RTM-S-FORCE_190-UNIDAD DEP. GUSTAVO VAZQUEZ,5,19.291768,-103.730026,COL01-VVU-VILL-014,10.21.63.28,VILLA
 09-ARM-T.ALCOMUN-VVU-AXIS-Q3708-PVE-F1-Rincón de López-COL01-VVU-ARME-009,5,19.240285,-103.69485,COL01-VVU-COLI-015,10.21.61.38,COLIMA
 12-ARM-T.FIBRA-VVU-AXIS-Q3708-PVE-F1-Jardin Cuyutlan-COL01-VVU-ARME-012,5,19.132284,-104.334052,COL01-VVU-MANZ-015,10.21.30.26,MANZANILLO
 10-CUAU-T.COMPLSEGUADMIN-VVU-AXIS-Q3708-PVE-F1-CBTIS COL01-VVU-CUAU-010,4,18.92444552,-103.8702851,COL01-VVU-TECO-015,10.21.40.145,TECOMAN
 14-COL-T.COMPADMIN-VVU-AXIS-Q3708-PVE-F1-Carretera Colima Guadalajara Complejo Admvo-COL01-VVU-COLI-014,5,19.290344,-103.747966,COL01-VVU-VILL-015,10.21.63.30,VILLA
 19-COL-T.COMPADMIN-VVU-AXIS-Q3708-PVE-F1-Plaza Zentralia-COL01-VVU-COLI-019,5,19.236678,-103.680527,COL01-VVU-COLI-016,10.21.61.40,COLIMA
 14-COL-T.COMPADMIN-VVU-AXIS-Q3708-PVE-F2-Carretera Colima Guadalajara Complejo Admvo-COL01-VVU-COLI-014,5,19.13027,-104.338757,COL01-VVU-MANZ-016,10.21.30.20,MANZANILLO
 19-COL-T.COMPADMIN-VVU-AXIS-Q3708-PVE-F2-Plaza Zentralia-COL01-VVU-COLI-019,5,19.289759,-103.73878,COL01-VVU-VILL-016,10.21.63.32,VILLA
 08-COL-T.C5-VVU-AXIS-Q3708-PVE-F1-Starbucks-COL01-VVU-COLI-008,5,19.233366,-103.679563,COL01-VVU-COLI-017,10.21.62.18,COLIMA
 05-COL-T.C5-VVU-AXIS-Q3708-PVE-F2-Sams Club Colima-COL01-VVU-COLI-005,4,19.121651,-104.3398,COL01-VVU-MANZ-017,10.21.30.14,MANZANILLO
17-TECO-SECUNDARIA 20-T.C2TECOMAN-RTM-S-FORCE_190-SECUNDARIA 20,4,18.91635001,-103.860453,COL01-VVU-TECO-017,10.21.40.170,TECOMAN
